,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,ENFORCEMENT_IDENTIFIER,ENFORCEMENT_TYPE,ENFORCEMENT_DESC,ENFORCEMENT_AGENCY,ENFORCEMENT_ACTION_DATE,PMP_AMOUNT,FMP_AMOUNT,FSC_AMOUNT,SCR_AMOUNT
10,TEXACO EXPRESS LUBE,30.247889,-81.756167,http://echo.epa.gov/detailed-facility-report?fid=110017621947,FLR000106518,FL,125,FL125,DEP WARNING LETTER,S  ,04/08/2004,,,,
11,SOUTHERN PUMP & TANK COMPANY,30.326148,-81.742393,http://echo.epa.gov/detailed-facility-report?fid=110020892300,FLR000115071,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,04/15/2008,,,,
12,DARREN'S CUSTOM & RESTORATIONS,29.993000000000002,-81.68027,http://echo.epa.gov/detailed-facility-report?fid=110059665321,FLR000208132,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,04/25/2014,,,,
13,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,215,FL215,DEP NOTICE OF VIOLATION (NOV),S  ,03/17/1999,,,,
14,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,APT,HQ210,INITIAL 3008(A) COMPLIANCE,E  ,08/19/1999,3520.0,,,
15,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,315,FL315,DEP CONSENT ORDER,S  ,08/12/1999,,,,
16,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,000,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,08/19/1999,,3520.0,,
17,BURKE CO #69,30.3634,-81.69724000000002,http://echo.epa.gov/detailed-facility-report?fid=110002538059,FLD093597268,FL,125,FL125,DEP WARNING LETTER,S  ,03/03/1986,,,,
18,GAINESVILLE CERTIFIED COLLISION CENTER,29.673265999999998,-82.321141,http://echo.epa.gov/detailed-facility-report?fid=110002553576,FLD981921836,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,10/30/2009,,,,
19,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,03/13/1995,,,,
20,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,125,FL125,DEP WARNING LETTER,S  ,04/14/1994,,,,
21,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,115,FL115,DEP MEETING,S  ,09/30/1997,,,,
22,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,125,FL125,DEP WARNING LETTER,S  ,07/23/1998,,,,
23,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,125,FL125,DEP WARNING LETTER,S  ,03/28/2003,,,,
24,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,09/19/1997,,,,
25,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,115,FL115,DEP MEETING,S  ,04/10/2003,,,,
26,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,07/29/2003,,42712.0,,
27,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,11/05/1998,,50000.0,,
28,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,12/02/1997,,,,
29,MYERS-SETH PUMP,30.324788,-81.72496899999999,http://echo.epa.gov/detailed-facility-report?fid=110005639292,FLR000026278,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,12/13/2006,,,,
30,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,03/22/2012,,7930.0,,
31,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,08/30/2005,,4250.0,,
32,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,115,FL115,DEP MEETING,S  ,08/08/2011,,,,
33,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,125,FL125,DEP WARNING LETTER,S  ,02/10/2015,,,,
34,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,115,FL115,DEP MEETING,S  ,06/07/2005,,,,
35,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,12/01/2015,,8500.0,,
36,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,125,FL125,DEP WARNING LETTER,S  ,07/14/2011,,,,
37,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,04/21/2008,,,,
38,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,125,FL125,DEP WARNING LETTER,S  ,05/10/2005,,,,
39,WOODLAND ESTATES,30.247809999999998,-81.80925,http://echo.epa.gov/detailed-facility-report?fid=110005661300,FLR000064725,FL,125,FL125,DEP WARNING LETTER,S  ,11/03/2000,,,,
40,AZKLEEN CLEANERS & LAUNDRY,30.25569500000001,-81.772421,http://echo.epa.gov/detailed-facility-report?fid=110005661747,FLR000065367,FL,125,FL125,DEP WARNING LETTER,S  ,06/21/2000,,,,
41,HARRELL & BEVERLY TRANS REBUILD,28.78671,-81.26904300000002,http://echo.epa.gov/detailed-facility-report?fid=110002531537,FLD047963251,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,01/11/2012,,,,
42,ED TILLMAN AUTO SALES,30.357858,-81.65326,http://echo.epa.gov/detailed-facility-report?fid=110002536373,FLD078316122,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,05/27/2010,,,,
43,UNIVAR USA INC,30.34387000000001,-81.71366,http://echo.epa.gov/detailed-facility-report?fid=110000362198,FLD981014681,FL,315,FL315,DEP CONSENT ORDER,S  ,04/03/1986,,,,
44,UNIVAR USA INC,30.34387000000001,-81.71366,http://echo.epa.gov/detailed-facility-report?fid=110000362198,FLD981014681,FL,215,FL215,DEP NOTICE OF VIOLATION (NOV),S  ,06/17/1985,,,,
45,PILOT OIL,28.55264600000001,-81.418761,http://echo.epa.gov/detailed-facility-report?fid=110006495300,FLD981019441,FL,125,FL125,DEP WARNING LETTER,S  ,07/22/1987,,,,
46,J M MFG CO,29.992188,-81.678836,http://echo.epa.gov/detailed-facility-report?fid=110035515797,FLD982089658,FL,125,FL125,DEP WARNING LETTER,S  ,06/24/1993,,,,
47,SCOOTER SUPERSTORE OF AMERICA,29.688268,-82.32191,http://echo.epa.gov/detailed-facility-report?fid=110007447637,FLD984199638,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,07/12/2010,,,,
48,FLORIDA WILBERT INC,30.361259999999998,-81.71502,http://echo.epa.gov/detailed-facility-report?fid=110005622718,FLD984252502,FL,125,FL125,DEP WARNING LETTER,S  ,11/17/1997,,,,
49,TRANSAMERICA INTERMODAL,30.346853999999997,-81.707466,http://echo.epa.gov/detailed-facility-report?fid=110005630834,FLR000008078,FL,125,FL125,DEP WARNING LETTER,S  ,07/21/1995,,,,
50,DANA TRANSPORT INC,30.355228999999998,-81.633156,http://echo.epa.gov/detailed-facility-report?fid=110005644703,FLR000035873,FL,125,FL125,DEP WARNING LETTER,S  ,12/28/1999,,,,
51,DANA TRANSPORT INC,30.355228999999998,-81.633156,http://echo.epa.gov/detailed-facility-report?fid=110005644703,FLR000035873,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,07/05/2016,,,,
52,DANA TRANSPORT INC,30.355228999999998,-81.633156,http://echo.epa.gov/detailed-facility-report?fid=110005644703,FLR000035873,FL,315,FL315,DEP CONSENT ORDER,S  ,06/06/2001,,,,
53,DANA TRANSPORT INC,30.355228999999998,-81.633156,http://echo.epa.gov/detailed-facility-report?fid=110005644703,FLR000035873,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,01/12/2009,,,,
54,W W AUTOMOTIVE INC,30.328861,-81.722895,http://echo.epa.gov/detailed-facility-report?fid=110005659322,FLR000060954,FL,115,FL115,DEP MEETING,S  ,05/26/2000,,,,
55,W W AUTOMOTIVE INC,30.328861,-81.722895,http://echo.epa.gov/detailed-facility-report?fid=110005659322,FLR000060954,FL,115,FL115,DEP MEETING,S  ,04/24/2000,,,,
56,W W AUTOMOTIVE INC,30.328861,-81.722895,http://echo.epa.gov/detailed-facility-report?fid=110005659322,FLR000060954,FL,125,FL125,DEP WARNING LETTER,S  ,01/27/2000,,,,
57,NEPHRON PHARMACEUTICALS CORPORATION,28.506713,-81.42897099999998,http://echo.epa.gov/detailed-facility-report?fid=110016726293,FLR000094896,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,06/10/2004,,2460.0,,
58,NEPHRON PHARMACEUTICALS CORPORATION,28.506713,-81.42897099999998,http://echo.epa.gov/detailed-facility-report?fid=110016726293,FLR000094896,FL,125,FL125,DEP WARNING LETTER,S  ,04/15/2004,,,,
59,NEPHRON PHARMACEUTICALS CORPORATION,28.506713,-81.42897099999998,http://echo.epa.gov/detailed-facility-report?fid=110016726293,FLR000094896,FL,115,FL115,DEP MEETING,S  ,03/07/2003,,,,
60,NEPHRON PHARMACEUTICALS CORPORATION,28.506713,-81.42897099999998,http://echo.epa.gov/detailed-facility-report?fid=110016726293,FLR000094896,FL,115,FL115,DEP MEETING,S  ,05/14/2004,,,,
61,NEPHRON PHARMACEUTICALS CORPORATION,28.506713,-81.42897099999998,http://echo.epa.gov/detailed-facility-report?fid=110016726293,FLR000094896,FL,125,FL125,DEP WARNING LETTER,S  ,02/17/2003,,,,
62,NEPHRON PHARMACEUTICALS CORPORATION,28.506713,-81.42897099999998,http://echo.epa.gov/detailed-facility-report?fid=110016726293,FLR000094896,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,03/25/2003,,5500.0,,
63,MANUEL MELENDEZ AUTOMOTIVE,30.353028000000002,-81.656028,http://echo.epa.gov/detailed-facility-report?fid=110017217938,FLR000105411,FL,215,FL215,DEP NOTICE OF VIOLATION (NOV),S  ,11/24/2004,,,,
64,MANUEL MELENDEZ AUTOMOTIVE,30.353028000000002,-81.656028,http://echo.epa.gov/detailed-facility-report?fid=110017217938,FLR000105411,FL,125,FL125,DEP WARNING LETTER,S  ,10/18/2004,,,,
65,MANUEL MELENDEZ AUTOMOTIVE,30.353028000000002,-81.656028,http://echo.epa.gov/detailed-facility-report?fid=110017217938,FLR000105411,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,01/30/2004,,,,
66,MANUEL MELENDEZ AUTOMOTIVE,30.353028000000002,-81.656028,http://echo.epa.gov/detailed-facility-report?fid=110017217938,FLR000105411,FL,318,FL318,DEP FINAL ADMINISTRATIVE ORDER,S  ,01/10/2005,,750.0,,
67,MIRAGE MFG - BUILDING 4 LAMINATION,29.678023,-82.29785799999998,http://echo.epa.gov/detailed-facility-report?fid=110032646830,FLR000139667,FL,115,FL115,DEP MEETING,S  ,09/30/2011,,,,
68,MIRAGE MFG - BUILDING 4 LAMINATION,29.678023,-82.29785799999998,http://echo.epa.gov/detailed-facility-report?fid=110032646830,FLR000139667,FL,415,FL415,DEP REFERRAL TO OGC,S  ,04/28/2009,,,,
69,MIRAGE MFG - BUILDING 4 LAMINATION,29.678023,-82.29785799999998,http://echo.epa.gov/detailed-facility-report?fid=110032646830,FLR000139667,FL,615,FL615,JUDICIAL CONSENT DECREE,S  ,03/16/2012,,,,
70,MIRAGE MFG - BUILDING 4 LAMINATION,29.678023,-82.29785799999998,http://echo.epa.gov/detailed-facility-report?fid=110032646830,FLR000139667,FL,515,FL515,CIVIL ACTION FOR COMPLIANCE,S  ,06/16/2011,,,,
71,MIRAGE MFG - BUILDING 4 LAMINATION,29.678023,-82.29785799999998,http://echo.epa.gov/detailed-facility-report?fid=110032646830,FLR000139667,FL,125,FL125,DEP WARNING LETTER,S  ,04/09/2008,,,,
72,UNITED PAINTING & SANDBLASTING,28.505941999999997,-81.420721,http://echo.epa.gov/detailed-facility-report?fid=110002526749,FLD005006440,FL,125,FL125,DEP WARNING LETTER,S  ,04/03/1989,,,,
73,CIRCUITRONICS CORPORATION,28.816896999999997,-81.329836,http://echo.epa.gov/detailed-facility-report?fid=110002550310,FLD981856347,FL,125,FL125,DEP WARNING LETTER,S  ,01/28/1999,,,,
74,CIRCUITRONICS CORPORATION,28.816896999999997,-81.329836,http://echo.epa.gov/detailed-facility-report?fid=110002550310,FLD981856347,FL,315,FL315,DEP CONSENT ORDER,S  ,06/17/1999,,300.0,5500.0,5500.0
75,DAVE BARBERS PAINT & BODY,29.654566,-82.331014,http://echo.epa.gov/detailed-facility-report?fid=110002553282,FLD981919855,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,06/24/2014,,,,
76,DAVE BARBERS PAINT & BODY,29.654566,-82.331014,http://echo.epa.gov/detailed-facility-report?fid=110002553282,FLD981919855,FL,125,FL125,DEP WARNING LETTER,S  ,07/14/1994,,,,
77,ZELLWIN FARMS COMPANY,28.72731,-81.60124,http://echo.epa.gov/detailed-facility-report?fid=110005621817,FLD984249771,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,06/07/1996,,7199.0,,
78,ZELLWIN FARMS COMPANY,28.72731,-81.60124,http://echo.epa.gov/detailed-facility-report?fid=110005621817,FLD984249771,FL,115,FL115,DEP MEETING,S  ,02/07/1996,,,,
79,ZELLWIN FARMS COMPANY,28.72731,-81.60124,http://echo.epa.gov/detailed-facility-report?fid=110005621817,FLD984249771,FL,125,FL125,DEP WARNING LETTER,S  ,01/24/1996,,,,
80,JERRYS A C & AUTO SHOP,29.682211,-82.320391,http://echo.epa.gov/detailed-facility-report?fid=110005636767,FLR000020487,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,09/17/2010,,,,
81,LAYNE INLINER LLC,28.803967999999998,-81.294315,http://echo.epa.gov/detailed-facility-report?fid=110005637329,FLR000021550,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,11/18/2015,,,,
82,A-1 AUTO SALVAGE INC,28.637964,-81.466181,http://echo.epa.gov/detailed-facility-report?fid=110011348559,FLR000109793,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,06/07/2012,,,,
83,EXCEL CHEMICAL CO INC,30.328409999999998,-81.68984,http://echo.epa.gov/detailed-facility-report?fid=110009069239,FLR000179671,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,12/20/2011,,,,
84,SEVEN OUT LLC,30.322383000000002,-81.63079599999998,http://echo.epa.gov/detailed-facility-report?fid=110002542277,FLD980841472,FL,415,FL415,DEP REFERRAL TO OGC,S  ,06/21/2004,,,,
85,SEVEN OUT LLC,30.322383000000002,-81.63079599999998,http://echo.epa.gov/detailed-facility-report?fid=110002542277,FLD980841472,FL,515,FL515,CIVIL ACTION FOR COMPLIANCE,S  ,04/21/2006,,35000.0,,
86,SEVEN OUT LLC,30.322383000000002,-81.63079599999998,http://echo.epa.gov/detailed-facility-report?fid=110002542277,FLD980841472,FL,125,FL125,DEP WARNING LETTER,S  ,07/05/2001,,,,
87,SEVEN OUT LLC,30.322383000000002,-81.63079599999998,http://echo.epa.gov/detailed-facility-report?fid=110002542277,FLD980841472,FL,615,FL615,JUDICIAL CONSENT DECREE,S  ,01/21/2003,,,,
88,SEVEN OUT LLC,30.322383000000002,-81.63079599999998,http://echo.epa.gov/detailed-facility-report?fid=110002542277,FLD980841472,FL,860,HQ860,ADMINISTRATIVE REFERRALS TO OTHER PROGRAMS,S  ,12/09/2008,,,,
89,SEVEN OUT LLC,30.322383000000002,-81.63079599999998,http://echo.epa.gov/detailed-facility-report?fid=110002542277,FLD980841472,FL,125,FL125,DEP WARNING LETTER,S  ,01/25/2000,,,,
90,SEVEN OUT LLC,30.322383000000002,-81.63079599999998,http://echo.epa.gov/detailed-facility-report?fid=110002542277,FLD980841472,FL,415,FL415,DEP REFERRAL TO OGC,S  ,06/27/2005,,,,
91,TRENCH SHORING SERVICES OF JACKSONVILLE INC,30.355140000000002,-81.730651,http://echo.epa.gov/detailed-facility-report?fid=110042276159,FLD982105199,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,08/26/2010,,,,
92,TOM BUSH BODY SHOP,30.3328,-81.6002,http://echo.epa.gov/detailed-facility-report?fid=110002562897,FLD982109894,FL,115,FL115,DEP MEETING,S  ,02/27/2001,,,,
93,TOM BUSH BODY SHOP,30.3328,-81.6002,http://echo.epa.gov/detailed-facility-report?fid=110002562897,FLD982109894,FL,125,FL125,DEP WARNING LETTER,S  ,01/25/2001,,,,
94,TOM BUSH BODY SHOP,30.3328,-81.6002,http://echo.epa.gov/detailed-facility-report?fid=110002562897,FLD982109894,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,03/01/2001,,,,
95,RENES SPECIALIZING IN MERCEDES,28.62971,-81.45929,http://echo.epa.gov/detailed-facility-report?fid=110005609822,FLD984217307,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,01/26/2011,,,,
96,ROWE PAINT,30.32889,-81.68696,http://echo.epa.gov/detailed-facility-report?fid=110005618885,FLD984243923,FL,125,FL125,DEP WARNING LETTER,S  ,03/31/1993,,,,
97,ROWE PAINT,30.32889,-81.68696,http://echo.epa.gov/detailed-facility-report?fid=110005618885,FLD984243923,FL,615,FL615,JUDICIAL CONSENT DECREE,S  ,12/08/1993,,,,
98,ROYS DIESEL INJECTION SERVICE INC,30.321859999999997,-81.71768,http://echo.epa.gov/detailed-facility-report?fid=110005620417,FLD984247049,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,09/29/2014,,,,
99,SPECTRUM PRINTING,28.568294,-81.424409,http://echo.epa.gov/detailed-facility-report?fid=110005647318,FLR000040816,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,07/28/2005,,,,
100,K & D TRAILER,28.801361,-81.2312,http://echo.epa.gov/detailed-facility-report?fid=110005651776,FLR000048009,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,08/06/1998,,,,
101,NORFOLK SOUTHERN CORP,30.370833,-81.7325,http://echo.epa.gov/detailed-facility-report?fid=110007478513,FLR000049205,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,12/31/2015,,,,
102,NORFOLK SOUTHERN CORP,30.370833,-81.7325,http://echo.epa.gov/detailed-facility-report?fid=110007478513,FLR000049205,FL,125,FL125,DEP WARNING LETTER,S  ,01/20/1999,,,,
103,DISNEY P & B,30.320833,-81.716933,http://echo.epa.gov/detailed-facility-report?fid=110012548252,FLR000072959,FL,125,FL125,DEP WARNING LETTER,S  ,02/19/2001,,,,
104,EMERSON BATTERY,30.284446999999997,-81.64282299999998,http://echo.epa.gov/detailed-facility-report?fid=110012551121,FLR000085548,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,07/16/2002,,,,
105,AUTO EXPORT LLC,28.640909999999998,-81.46633,http://echo.epa.gov/detailed-facility-report?fid=110013372126,FLR000092635,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,12/04/2002,,,,
106,JD BYRIDER SYSTEMS INC,30.31372600000001,-81.563191,http://echo.epa.gov/detailed-facility-report?fid=110016720477,FLR000095943,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,05/15/2007,,,,
107,OMAR GHANIE PROPERTY,28.544923999999998,-81.442662,http://echo.epa.gov/detailed-facility-report?fid=110023096512,FLR000123331,FL,318,FL318,DEP FINAL ADMINISTRATIVE ORDER,S  ,11/20/2007,,5000.0,,
108,OMAR GHANIE PROPERTY,28.544923999999998,-81.442662,http://echo.epa.gov/detailed-facility-report?fid=110023096512,FLR000123331,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,10/21/2005,,,,
109,OMAR GHANIE PROPERTY,28.544923999999998,-81.442662,http://echo.epa.gov/detailed-facility-report?fid=110023096512,FLR000123331,FL,215,FL215,DEP NOTICE OF VIOLATION (NOV),S  ,10/25/2007,,,,
110,"HERITAGE WOOD PRODUCTS, INC",30.329721999999997,-81.691389,http://echo.epa.gov/detailed-facility-report?fid=110002522057,FL0000917500,FL,125,FL125,DEP WARNING LETTER,S  ,08/02/1996,,,,
111,CARTERS AUTO SERVICE,28.542890000000003,-81.44754,http://echo.epa.gov/detailed-facility-report?fid=110002546059,FLD981476922,FL,125,FL125,DEP WARNING LETTER,S  ,09/24/1987,,,,
112,POWELL BROTHERS COLLISION INC,30.321138,-81.742434,http://echo.epa.gov/detailed-facility-report?fid=110007415608,FLD981747421,FL,125,FL125,DEP WARNING LETTER,S  ,09/24/1987,,,,
113,PUTNAM TRUCK & TRAILER,29.641234000000004,-81.641033,http://echo.epa.gov/detailed-facility-report?fid=110007421502,FLD982081234,FL,125,FL125,DEP WARNING LETTER,S  ,06/23/2008,,,,
114,G & G AUTO SALON,30.313955,-81.569845,http://echo.epa.gov/detailed-facility-report?fid=110002560229,FLD982099350,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,08/05/2009,,,,
115,WESTSIDE CLEANERS,28.552181,-81.448933,http://echo.epa.gov/detailed-facility-report?fid=110006184743,FLD984218107,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,04/14/2011,,,,
116,WAL-MART SUPERCENTER #1219,30.451359999999998,-81.70486,http://echo.epa.gov/detailed-facility-report?fid=110054828424,FLR000013367,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,07/07/2011,,,,
117,B & S BODY SHOP,30.294928000000002,-81.638098,http://echo.epa.gov/detailed-facility-report?fid=110005651375,FLR000047357,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,04/23/2012,,,,
118,B & S BODY SHOP,30.294928000000002,-81.638098,http://echo.epa.gov/detailed-facility-report?fid=110005651375,FLR000047357,FL,125,FL125,DEP WARNING LETTER,S  ,01/03/2002,,,,
119,GATOR SYSTEMS INC,28.811526,-81.287801,http://echo.epa.gov/detailed-facility-report?fid=110005657770,FLR000058685,FL,125,FL125,DEP WARNING LETTER,S  ,12/25/2002,,,,
120,TEDS GARAGE,30.286042,-81.801875,http://echo.epa.gov/detailed-facility-report?fid=110012540839,FLR000069732,FL,125,FL125,DEP WARNING LETTER,S  ,05/21/2001,,,,
121,TEDS GARAGE,30.286042,-81.801875,http://echo.epa.gov/detailed-facility-report?fid=110012540839,FLR000069732,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,10/31/2001,,1685.0,,
122,R & S AUTO REPAIR,30.32494,-81.67803,http://echo.epa.gov/detailed-facility-report?fid=110017621652,FLR000106765,FL,125,FL125,DEP WARNING LETTER,S  ,10/18/2004,,,,
123,R & S AUTO REPAIR,30.32494,-81.67803,http://echo.epa.gov/detailed-facility-report?fid=110017621652,FLR000106765,FL,215,FL215,DEP NOTICE OF VIOLATION (NOV),S  ,11/24/2004,,,,
124,R & S AUTO REPAIR,30.32494,-81.67803,http://echo.epa.gov/detailed-facility-report?fid=110017621652,FLR000106765,FL,312,FL312,DEP SHORT FORM CONSENT ORDER,S  ,12/22/2004,,250.0,,
