,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,REGISTRY_ID,REPORTING_YEAR,PGM_SYS_ACRNM,PGM_SYS_ID,POLLUTANT_NAME,ANNUAL_EMISSION,UNIT_OF_MEASURE,NEI_TYPE,NEI_HAP_VOC_FLAG
10,IFF CHEMICAL HOLDINGS INC,30.34774,-81.7494,http://echo.epa.gov/detailed-facility-report?fid=110000361830,110000361830,2012,TRIS,32205NNCMP2051N,Copper compounds -- TRI,0.0,Pounds,,
11,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2011,TRIS,32602PCRNC5002S,HCFC-123,0.0,Pounds,,
12,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,110000845337,2010,TRIS,32771SFTYK6CENT,Benzo[ghi]perylene,0.0,Pounds,,
13,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,http://echo.epa.gov/detailed-facility-report?fid=110000361821,110000361821,2017,TRIS,32205MTLCN1100N,Sulfuric acid,729.0,Pounds,,
14,"QORVO US, INC.",28.650378000000003,-81.466674,http://echo.epa.gov/detailed-facility-report?fid=110005991178,110005991178,2011,TRIS,32703TRQNT1818S,N-Methyl-2-pyrrolidone,1670.0,Pounds,,
15,"OWENS CORNING ASPHALT ROOFING, LLC",30.336691,-81.629304,http://echo.epa.gov/detailed-facility-report?fid=110000361938,110000361938,2017,TRIS,32206WNSCR1035T,Polycyclic aromatic compounds -- TRI,3.7,Pounds,,
16,PORT CONSOLIDATED INC,28.459563,-81.403449,http://echo.epa.gov/detailed-facility-report?fid=110000363179,110000363179,2018,TRIS,32809VLVLN1929D,Cumene,0.0,Pounds,,
17,UNIVAR USA INC,30.323793,-81.74232099999998,http://echo.epa.gov/detailed-facility-report?fid=110000523023,110000523023,2009,TRIS,32254PPRSN155EL,Nitric acid,0.0,Pounds,,
18,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2016,TRIS,32178CDRSYAIRPO,Styrene,15700.0,Pounds,,
19,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2011,TRIS,32078GRGPCSTATE,Nitrate compounds -- TRI,0.0,Pounds,,
20,PORT CONSOLIDATED INC.,30.34168,-81.62897,http://echo.epa.gov/detailed-facility-report?fid=110031019083,110031019083,2009,TRIS,32206PRTCN151TA,Toluene,0.0,Pounds,,
21,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,110005591797,2017,TRIS,32771CRPPP31BRW,Hydrofluoric acid,500.0,Pounds,,
22,REICHHOLD LLC,30.326893,-81.745758,http://echo.epa.gov/detailed-facility-report?fid=110000498612,110000498612,2013,TRIS,32236RCHHLWESTB,Ethylene glycol,289.0,Pounds,,
23,VCNA PRESTIGE CONCRETE-GREEN COVE SPRINGS,29.961761,-81.673796,http://echo.epa.gov/detailed-facility-report?fid=110060261130,110060261130,2013,TRIS,3204WVCNPR1219C,Lead,0.008818000000000001,Pounds,,
24,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,http://echo.epa.gov/detailed-facility-report?fid=110000361821,110000361821,2009,TRIS,32205MTLCN1100N,Sulfuric acid,75.0,Pounds,,
25,CORK INDUSTRIES INC,30.325667,-81.743278,http://echo.epa.gov/detailed-facility-report?fid=110000362161,110000362161,2017,TRIS,32254CRKND5555W,Zinc compounds,0.0,Pounds,,
26,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,110000845337,2016,TRIS,32771SFTYK6CENT,Lead,0.0,Pounds,,
27,CHEMICAL SYSTEMS OF ORLANDO INCORPORATED,28.723333,-81.582306,http://echo.epa.gov/detailed-facility-report?fid=110000363008,110000363008,2011,TRIS,32798CHMCL6429W,Nitric acid,0.0,Pounds,,
28,UNIVAR USA INC,30.323793,-81.74232099999998,http://echo.epa.gov/detailed-facility-report?fid=110000523023,110000523023,2014,TRIS,32254PPRSN155EL,"Certain glycol ethers, a limited set -- TRI",0.0,Pounds,,
29,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2011,TRIS,32078GRGPCSTATE,Catechol,0.0,Pounds,,
30,PORT CONSOLIDATED INC.,30.34168,-81.62897,http://echo.epa.gov/detailed-facility-report?fid=110031019083,110031019083,2014,TRIS,32206PRTCN151TA,Xylene,0.0,Pounds,,
31,UNIVAR USA INC,30.323793,-81.74232099999998,http://echo.epa.gov/detailed-facility-report?fid=110000523023,110000523023,2018,TRIS,32254PPRSN155EL,Nitric acid,0.0,Pounds,,
32,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,http://echo.epa.gov/detailed-facility-report?fid=110000361821,110000361821,2015,TRIS,32205MTLCN1100N,Hydrofluoric acid,117.0,Pounds,,
33,ARGOS USA,28.604640000000003,-81.41834,http://echo.epa.gov/detailed-facility-report?fid=110002533349,110002533349,2011,TRIS,3281WCRDRR519CA,Lead,0.01384,Pounds,,
34,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2010,TRIS,32078GRGPCSTATE,Acetaldehyde,42000.0,Pounds,,
35,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,110005591797,2016,TRIS,32771CRPPP31BRW,Hydrofluoric acid,500.0,Pounds,,
36,PORT CONSOLIDATED INC.,30.34168,-81.62897,http://echo.epa.gov/detailed-facility-report?fid=110031019083,110031019083,2016,TRIS,32206PRTCN151TA,Methyl tert-butyl ether,0.0,Pounds,,
37,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2012,TRIS,32078GRGPCSTATE,Benzo[ghi]perylene,2.0,Pounds,,
38,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2012,TRIS,32078GRGPCSTATE,Chlorine dioxide,205.0,Pounds,,
39,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2012,TRIS,32602PCRNC5002S,Hexane,1018.0,Pounds,,
40,UNITED STATES GYPSUM CO.,30.381790000000002,-81.63793000000003,http://echo.epa.gov/detailed-facility-report?fid=110001737014,110001737014,2017,TRIS,32208NTDST6825E,Lead compounds,0.57,Pounds,,
41,WWF OPERATING CO,30.33271,-81.69951999999998,http://echo.epa.gov/detailed-facility-report?fid=110022522741,110022522741,2010,TRIS,32209WHTWV2262W,Nitrate compounds -- TRI,0.0,Pounds,,
42,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2013,TRIS,32602PCRNC5002S,Hexachlorobenzene,0.0,Pounds,,
43,TAMKO BUILDING PRODUCTS INC,29.977221000000004,-81.66853,http://echo.epa.gov/detailed-facility-report?fid=110000498603,110000498603,2011,TRIS,32043TMKRF914HA,"1,2,4-Trimethylbenzene",0.0,Pounds,,
44,REICHHOLD LLC,30.326893,-81.745758,http://echo.epa.gov/detailed-facility-report?fid=110000498612,110000498612,2017,TRIS,32236RCHHLWESTB,Methanol,274.0,Pounds,,
45,PORT CONSOLIDATED INC.,30.34168,-81.62897,http://echo.epa.gov/detailed-facility-report?fid=110031019083,110031019083,2016,TRIS,32206PRTCN151TA,Ethylbenzene,0.0,Pounds,,
46,IFF CHEMICAL HOLDINGS INC,30.34774,-81.7494,http://echo.epa.gov/detailed-facility-report?fid=110000361830,110000361830,2010,TRIS,32205NNCMP2051N,Chromium compounds -- TRI,0.0,Pounds,,
47,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2014,TRIS,32078GRGPCSTATE,Catechol,0.0,Pounds,,
48,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2009,TRIS,32078GRGPCSTATE,Barium compounds -- TRI ,110.0,Pounds,,
49,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2017,TRIS,32078GRGPCSTATE,Hydrogen sulfide,35000.0,Pounds,,
50,MODERN WELDING COMPANY OF FLORIDA,28.522340000000003,-81.38311,http://echo.epa.gov/detailed-facility-report?fid=110000363044,110000363044,2011,TRIS,32806MDRNW1801A,Styrene,4878.0,Pounds,,
51,"OLDCASTLE RETAIL, INC.",30.320109999999996,-81.75658,http://echo.epa.gov/detailed-facility-report?fid=110009079031,110009079031,2017,TRIS,32254BNSLM6659H,Lead compounds,0.01,Pounds,,
52,ANCHOR GLASS & CONTAINER CORP,30.349681,-81.71258399999998,http://echo.epa.gov/detailed-facility-report?fid=110022424296,110022424296,2017,TRIS,32205NCHRG2121H,Lead compounds,36.2,Pounds,,
53,"PORT CONSOLIDATED, INC.",29.6559,-81.63884,http://echo.epa.gov/detailed-facility-report?fid=110070244783,110070244783,2018,TRIS,3217WPRTCN11WAS,Benzene,0.0,Pounds,,
54,"PORT CONSOLIDATED, INC.",29.6559,-81.63884,http://echo.epa.gov/detailed-facility-report?fid=110070244783,110070244783,2017,TRIS,3217WPRTCN11WAS,Toluene,0.0,Pounds,,
55,PORT CONSOLIDATED INC,28.459563,-81.403449,http://echo.epa.gov/detailed-facility-report?fid=110000363179,110000363179,2011,TRIS,32809VLVLN1929D,Zinc compounds,0.0,Pounds,,
56,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,110000845337,2015,TRIS,32771SFTYK6CENT,Benzo[ghi]perylene,0.0,Pounds,,
57,IFF CHEMICAL HOLDINGS INC,30.34774,-81.7494,http://echo.epa.gov/detailed-facility-report?fid=110000361830,110000361830,2015,TRIS,32205NNCMP2051N,Hydrochloric acid,545.0,Pounds,,
58,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,http://echo.epa.gov/detailed-facility-report?fid=110000361821,110000361821,2011,TRIS,32205MTLCN1100N,Lead,0.0,Pounds,,
59,TAMKO BUILDING PRODUCTS INC,29.977221000000004,-81.66853,http://echo.epa.gov/detailed-facility-report?fid=110000498603,110000498603,2012,TRIS,32043TMKRF914HA,"1,2,4-Trimethylbenzene",0.0,Pounds,,
60,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,http://echo.epa.gov/detailed-facility-report?fid=110000361821,110000361821,2018,TRIS,32205MTLCN1100N,1-Butanol,75963.27,Pounds,,
61,PORT CONSOLIDATED INC,28.459563,-81.403449,http://echo.epa.gov/detailed-facility-report?fid=110000363179,110000363179,2016,TRIS,32809VLVLN1929D,Toluene,0.0,Pounds,,
62,RYAN FOODS COMPANY,30.33294,-81.7,http://echo.epa.gov/detailed-facility-report?fid=110056536887,110056536887,2011,TRIS,32209LNGLF2198W,Nitric acid,0.0,Pounds,,
63,IFF CHEMICAL HOLDINGS INC,30.34774,-81.7494,http://echo.epa.gov/detailed-facility-report?fid=110000361830,110000361830,2018,TRIS,32205NNCMP2051N,Methanol,3.0,Pounds,,
64,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,110000845337,2013,TRIS,32771SFTYK6CENT,Benzo[ghi]perylene,0.0,Pounds,,
65,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,110000845337,2013,TRIS,32771SFTYK6CENT,Ethylene glycol,10.0,Pounds,,
66,ANCHOR GLASS & CONTAINER CORP,30.349681,-81.71258399999998,http://echo.epa.gov/detailed-facility-report?fid=110022424296,110022424296,2018,TRIS,32205NCHRG2121H,Lead compounds,37.0,Pounds,,
67,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2009,TRIS,32602PCRNC5002S,Ammonia,1600.0,Pounds,,
68,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,110000845337,2016,TRIS,32771SFTYK6CENT,Ethylene glycol,2.0,Pounds,,
69,ANUVIA,28.733535999999997,-81.621729,http://echo.epa.gov/detailed-facility-report?fid=110070070550,110070070550,2017,TRIS,3279WNVXXX6751W,Sulfuric acid,5.0,Pounds,,
70,PORT CONSOLIDATED INC.,30.34168,-81.62897,http://echo.epa.gov/detailed-facility-report?fid=110031019083,110031019083,2012,TRIS,32206PRTCN151TA,Ethylbenzene,0.0,Pounds,,
71,WWF OPERATING CO,30.33271,-81.69951999999998,http://echo.epa.gov/detailed-facility-report?fid=110022522741,110022522741,2010,TRIS,32209WHTWV2262W,Nitric acid,0.0,Pounds,,
72,ARGOS USA,28.604640000000003,-81.41834,http://echo.epa.gov/detailed-facility-report?fid=110002533349,110002533349,2017,TRIS,3281WCRDRR519CA,Lead,0.5,Pounds,,
73,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2014,TRIS,32602PCRNC5002S,Cumene,294.0,Pounds,,
74,CEMEX CONSTRUCTION MATERIALS FLORIDA LLC,28.516848,-81.38330500000002,http://echo.epa.gov/detailed-facility-report?fid=110031269106,110031269106,2016,TRIS,3280WGRNTS435WE,Lead compounds,0.0,Pounds,,
75,IFF CHEMICAL HOLDINGS INC,30.34774,-81.7494,http://echo.epa.gov/detailed-facility-report?fid=110000361830,110000361830,2018,TRIS,32205NNCMP2051N,Hydrochloric acid,1635.0,Pounds,,
76,PORT CONSOLIDATED INC,28.459563,-81.403449,http://echo.epa.gov/detailed-facility-report?fid=110000363179,110000363179,2016,TRIS,32809VLVLN1929D,Hexane,0.0,Pounds,,
77,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2014,TRIS,32602PCRNC5002S,Hexane,1546.0,Pounds,,
78,PORT CONSOLIDATED INC.,30.34168,-81.62897,http://echo.epa.gov/detailed-facility-report?fid=110031019083,110031019083,2016,TRIS,32206PRTCN151TA,Xylene,0.0,Pounds,,
79,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2018,TRIS,32178CDRSYAIRPO,Styrene,11440.0,Pounds,,
80,UNIVAR USA INC,30.323793,-81.74232099999998,http://echo.epa.gov/detailed-facility-report?fid=110000523023,110000523023,2013,TRIS,32254PPRSN155EL,Ammonia,0.0,Pounds,,
81,MODERN WELDING COMPANY OF FLORIDA,28.522340000000003,-81.38311,http://echo.epa.gov/detailed-facility-report?fid=110000363044,110000363044,2009,TRIS,32806MDRNW1801A,Styrene,15807.0,Pounds,,
82,AIRGAS USA LLC,30.343605,-81.749234,http://echo.epa.gov/detailed-facility-report?fid=110000362189,110000362189,2010,TRIS,32254RPRDS5837W,Ethylene,2835.0,Pounds,,
83,REICHHOLD LLC,30.326893,-81.745758,http://echo.epa.gov/detailed-facility-report?fid=110000498612,110000498612,2010,TRIS,32236RCHHLWESTB,Styrene,10106.0,Pounds,,
84,ANUVIA,28.733535999999997,-81.621729,http://echo.epa.gov/detailed-facility-report?fid=110070070550,110070070550,2018,TRIS,3279WNVXXX6751W,Ammonia,0.0,Pounds,,
85,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,http://echo.epa.gov/detailed-facility-report?fid=110000361821,110000361821,2011,TRIS,32205MTLCN1100N,1-Butanol,50270.0,Pounds,,
86,SAFETY-KLEEN SYSTEMS (313001),28.806984999999997,-81.317577,http://echo.epa.gov/detailed-facility-report?fid=110000845337,110000845337,2011,TRIS,32771SFTYK6CENT,Lead,0.0,Pounds,,
87,REICHHOLD LLC,30.326893,-81.745758,http://echo.epa.gov/detailed-facility-report?fid=110000498612,110000498612,2014,TRIS,32236RCHHLWESTB,Phthalic anhydride,23.0,Pounds,,
88,"FRITO-LAY, INC.",28.5772,-81.417067,http://echo.epa.gov/detailed-facility-report?fid=110058220429,110058220429,2012,TRIS,32808FRTLY2800S,Nitric acid,0.0,Pounds,,
89,VCNA PRESTIGE CONCRETE-GREEN COVE SPRINGS,29.961761,-81.673796,http://echo.epa.gov/detailed-facility-report?fid=110060261130,110060261130,2016,TRIS,3204WVCNPR1219C,Lead,0.022545,Pounds,,
90,JOHNS MANVILLE  JACKSONVILLE,30.349371,-81.741517,http://echo.epa.gov/detailed-facility-report?fid=110000362170,110000362170,2016,TRIS,32254NRGBR5510W,Diisocyanates -- TRI,12.3,Pounds,,
91,RYAN FOODS COMPANY,30.33294,-81.7,http://echo.epa.gov/detailed-facility-report?fid=110056536887,110056536887,2015,TRIS,32209LNGLF2198W,Nitrate compounds -- TRI,0.0,Pounds,,
92,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,http://echo.epa.gov/detailed-facility-report?fid=110000361821,110000361821,2014,TRIS,32205MTLCN1100N,Sulfuric acid,584.0,Pounds,,
93,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,110005591797,2012,TRIS,32771CRPPP31BRW,Manganese,0.0,Pounds,,
94,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2015,TRIS,32602PCRNC5002S,Ammonia,3625.0,Pounds,,
95,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2010,TRIS,32078GRGPCSTATE,Chlorine dioxide,13005.0,Pounds,,
96,REICHHOLD LLC,30.326893,-81.745758,http://echo.epa.gov/detailed-facility-report?fid=110000498612,110000498612,2009,TRIS,32236RCHHLWESTB,Ethylene glycol,205.0,Pounds,,
97,REICHHOLD LLC,30.326893,-81.745758,http://echo.epa.gov/detailed-facility-report?fid=110000498612,110000498612,2009,TRIS,32236RCHHLWESTB,Phthalic anhydride,30.0,Pounds,,
98,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2015,TRIS,32078GRGPCSTATE,Formic acid,0.0,Pounds,,
99,WWF OPERATING CO,30.33271,-81.69951999999998,http://echo.epa.gov/detailed-facility-report?fid=110022522741,110022522741,2015,TRIS,32209WHTWV2262W,Nitrate compounds -- TRI,0.0,Pounds,,
100,REICHHOLD LLC,30.326893,-81.745758,http://echo.epa.gov/detailed-facility-report?fid=110000498612,110000498612,2009,TRIS,32236RCHHLWESTB,Cobalt compounds,0.0,Pounds,,
101,UNIVAR USA INC,30.323793,-81.74232099999998,http://echo.epa.gov/detailed-facility-report?fid=110000523023,110000523023,2016,TRIS,32254PPRSN155EL,Ammonia,0.0,Pounds,,
102,REICHHOLD LLC,30.326893,-81.745758,http://echo.epa.gov/detailed-facility-report?fid=110000498612,110000498612,2014,TRIS,32236RCHHLWESTB,Methanol,0.0,Pounds,,
103,COASTAL AN OLDCASTLE CO,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110067425806,110067425806,2012,TRIS,32219LDCST5959S,Lead,0.0,Pounds,,
104,PORT CONSOLIDATED INC,28.459563,-81.403449,http://echo.epa.gov/detailed-facility-report?fid=110000363179,110000363179,2013,TRIS,32809VLVLN1929D,Zinc compounds,0.0,Pounds,,
105,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2013,TRIS,32078GRGPCSTATE,Phenol,15000.0,Pounds,,
106,PORT CONSOLIDATED INC.,30.34168,-81.62897,http://echo.epa.gov/detailed-facility-report?fid=110031019083,110031019083,2012,TRIS,32206PRTCN151TA,Methyl tert-butyl ether,0.0,Pounds,,
107,PORT CONSOLIDATED INC.,30.34168,-81.62897,http://echo.epa.gov/detailed-facility-report?fid=110031019083,110031019083,2012,TRIS,32206PRTCN151TA,Hexane,0.0,Pounds,,
108,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,110009691244,2016,TRIS,32219LDCST5995S,Lead compounds,0.0,Pounds,,
109,REICHHOLD LLC,30.326893,-81.745758,http://echo.epa.gov/detailed-facility-report?fid=110000498612,110000498612,2015,TRIS,32236RCHHLWESTB,Maleic anhydride,257.0,Pounds,,
110,"PORT CONSOLIDATED, INC.",30.36735,-81.63417,http://echo.epa.gov/detailed-facility-report?fid=110046123574,110046123574,2017,TRIS,3220WPRTCN452BE,Zinc compounds,0.0,Pounds,,
111,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,110009691244,2013,TRIS,32219LDCST5995S,Lead compounds,0.0,Pounds,,
112,UNIVAR USA INC,30.323793,-81.74232099999998,http://echo.epa.gov/detailed-facility-report?fid=110000523023,110000523023,2011,TRIS,32254PPRSN155EL,"Certain glycol ethers, a limited set -- TRI",39.0,Pounds,,
113,TAMKO BUILDING PRODUCTS INC,29.977221000000004,-81.66853,http://echo.epa.gov/detailed-facility-report?fid=110000498603,110000498603,2015,TRIS,32043TMKRF914HA,"1,2,4-Trimethylbenzene",0.0,Pounds,,
114,TAMKO BUILDING PRODUCTS INC,29.977221000000004,-81.66853,http://echo.epa.gov/detailed-facility-report?fid=110000498603,110000498603,2018,TRIS,32043TMKRF914HA,"1,2,4-Trimethylbenzene",0.0,Pounds,,
115,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,http://echo.epa.gov/detailed-facility-report?fid=110000361821,110000361821,2015,TRIS,32205MTLCN1100N,Sulfuric acid,584.0,Pounds,,
116,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,29.681083,-81.680217,http://echo.epa.gov/detailed-facility-report?fid=110000588604,110000588604,2015,TRIS,32078GRGPCSTATE,Formaldehyde,11042.0,Pounds,,
117,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2018,TRIS,32602PCRNC5002S,Chloromethane,10.0,Pounds,,
118,IFF CHEMICAL HOLDINGS INC,30.34774,-81.7494,http://echo.epa.gov/detailed-facility-report?fid=110000361830,110000361830,2013,TRIS,32205NNCMP2051N,Chromium compounds -- TRI,0.0,Pounds,,
119,VCNA PRESTIGE CONCRETE-GREEN COVE SPRINGS,29.961761,-81.673796,http://echo.epa.gov/detailed-facility-report?fid=110060261130,110060261130,2017,TRIS,3204WVCNPR1219C,Lead,0.018111,Pounds,,
120,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2017,TRIS,32602PCRNC5002S,Toluene,32.0,Pounds,,
121,AIRGAS USA LLC,30.343605,-81.749234,http://echo.epa.gov/detailed-facility-report?fid=110000362189,110000362189,2011,TRIS,32254RPRDS5837W,Ethylene,2964.0,Pounds,,
122,"PORT CONSOLIDATED, INC.",29.6559,-81.63884,http://echo.epa.gov/detailed-facility-report?fid=110070244783,110070244783,2017,TRIS,3217WPRTCN11WAS,Benzene,0.0,Pounds,,
123,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,http://echo.epa.gov/detailed-facility-report?fid=110000361821,110000361821,2010,TRIS,32205MTLCN1100N,1-Butanol,66304.0,Pounds,,
124,CORE PIPE PRODUCTS INC,28.809882,-81.295029,http://echo.epa.gov/detailed-facility-report?fid=110005591797,110005591797,2015,TRIS,32771CRPPP31BRW,Copper,0.0,Pounds,,
125,UNIVAR USA INC,30.323793,-81.74232099999998,http://echo.epa.gov/detailed-facility-report?fid=110000523023,110000523023,2011,TRIS,32254PPRSN155EL,Nitric acid,12.0,Pounds,,
126,SIVANCE LLC,29.706538000000002,-82.265323,http://echo.epa.gov/detailed-facility-report?fid=110000520703,110000520703,2017,TRIS,32602PCRNC5002S,Chloromethane,40.0,Pounds,,
127,TAMKO BUILDING PRODUCTS INC,29.977221000000004,-81.66853,http://echo.epa.gov/detailed-facility-report?fid=110000498603,110000498603,2014,TRIS,32043TMKRF914HA,Benzo[ghi]perylene,0.4,Pounds,,
128,"OLDCASTLE LAWN AND GARDEN, INC.",29.826116,-81.659215,http://echo.epa.gov/detailed-facility-report?fid=110043694106,110043694106,2018,TRIS,3200WLDCSTPBX46,Lead compounds,0.0,Pounds,,
129,AIRGAS USA LLC,30.343605,-81.749234,http://echo.epa.gov/detailed-facility-report?fid=110000362189,110000362189,2015,TRIS,32254RPRDS5837W,Ethylene,2162.0,Pounds,,
