,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
46,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/07/1997,12/02/1997,10/06/1997
47,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.A,Standards Applicable to Generators of HW: General,S  ,08/07/1997,12/02/1997,12/17/1997
48,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.N,Interim Status Standards for Owners and Operators of HW TSDs: Landfills,S  ,07/23/1998,09/17/1998,
49,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,07/23/1998,09/17/1998,
50,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/21/2003,07/07/2003,
51,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,02/21/2003,07/07/2003,
52,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.N,Interim Status Standards for Owners and Operators of HW TSDs: Landfills,S  ,07/23/1998,09/17/1998,08/23/1998
53,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.A,Standards Applicable to Generators of HW: General,S  ,08/07/1997,12/02/1997,
54,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/07/1997,12/02/1997,12/17/1997
55,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,02/21/2003,07/07/2003,
56,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,266.F,Standards for the Management of Specific HW and Specific Types of HW Management Facilities: Recyclable Materials Utilized for Precious Metal Recovery,S  ,08/21/1996,09/03/1996,12/17/1997
57,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,279.C,Standards for Used Oil: Generators,S  ,07/23/1998,09/17/1998,08/23/1998
58,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/21/1996,09/03/1996,12/17/1997
59,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.P,Interim Status Standards for Owners and Operators of HW TSDs: Thermal Treatment,S  ,02/21/2003,07/07/2003,
60,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,08/07/1997,12/02/1997,10/06/1997
61,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/23/1998,09/17/1998,
62,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,07/23/1998,09/17/1998,08/23/1998
63,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/23/1998,09/17/1998,08/23/1998
64,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.N,Interim Status Standards for Owners and Operators of HW TSDs: Landfills,S  ,02/21/2003,07/07/2003,
65,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,268.A,Land Disposal Restrictions: General,S  ,07/23/1998,08/21/1998,08/23/1998
66,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,08/07/1997,12/02/1997,12/17/1997
67,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/07/1997,12/02/1997,
68,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/23/1998,10/02/1998,08/23/1998
69,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.A,Standards Applicable to Generators of HW: General,S  ,08/21/1996,09/03/1996,12/17/1997
70,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,02/21/2003,07/07/2003,
71,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.A,Standards Applicable to Generators of HW: General,S  ,07/23/1998,09/17/1998,08/23/1998
72,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.A,Standards Applicable to Generators of HW: General,S  ,08/07/1997,12/02/1997,10/06/1997
73,ROBERTS DIESEL SERVICE INC,30.33587,-81.74600000000002,http://echo.epa.gov/detailed-facility-report?fid=110005622120,FLD984250373,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,02/03/1997,04/11/1997,
74,ROBERTS DIESEL SERVICE INC,30.33587,-81.74600000000002,http://echo.epa.gov/detailed-facility-report?fid=110005622120,FLD984250373,FL,265.P,Interim Status Standards for Owners and Operators of HW TSDs: Thermal Treatment,S  ,02/03/1997,04/11/1997,
75,ROBERTS DIESEL SERVICE INC,30.33587,-81.74600000000002,http://echo.epa.gov/detailed-facility-report?fid=110005622120,FLD984250373,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/03/1997,04/11/1997,
76,ROBERTS DIESEL SERVICE INC,30.33587,-81.74600000000002,http://echo.epa.gov/detailed-facility-report?fid=110005622120,FLD984250373,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/11/1997,04/11/1997,
77,ROBERTS DIESEL SERVICE INC,30.33587,-81.74600000000002,http://echo.epa.gov/detailed-facility-report?fid=110005622120,FLD984250373,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,04/11/1997,04/11/1997,
78,ROBERTS DIESEL SERVICE INC,30.33587,-81.74600000000002,http://echo.epa.gov/detailed-facility-report?fid=110005622120,FLD984250373,FL,265.P,Interim Status Standards for Owners and Operators of HW TSDs: Thermal Treatment,S  ,04/11/1997,04/11/1997,
79,MYERS-SETH PUMP,30.324788,-81.72496899999999,http://echo.epa.gov/detailed-facility-report?fid=110005639292,FLR000026278,FL,261.A,ID and Listing of HW: General,S  ,12/13/2006,04/12/2007,
80,MYERS-SETH PUMP,30.324788,-81.72496899999999,http://echo.epa.gov/detailed-facility-report?fid=110005639292,FLR000026278,FL,279.C,Standards for Used Oil: Generators,S  ,12/13/2006,12/13/2006,
81,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/10/2011,11/30/2011,
82,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.C,Standards for Used Oil: Generators,S  ,01/21/2005,06/07/2005,
83,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/10/2011,08/08/2011,
84,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.F,Standards for Used Oi:l Processors and Re-Refiners,S  ,07/25/2014,05/08/2015,
85,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.F,Standards for Used Oi:l Processors and Re-Refiners,S  ,01/21/2005,08/30/2005,
86,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.E,Standards for Used Oil: Transporter and Transfer Facilities,S  ,01/21/2005,06/07/2005,
87,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,10/11/2007,05/22/2008,
88,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.H,Standards for Used Oil: Fuel Marketers,S  ,10/11/2007,05/22/2008,
89,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,262.A,Standards Applicable to Generators of HW: General,S  ,05/10/2011,08/08/2011,
90,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,262.A,Standards Applicable to Generators of HW: General,S  ,01/21/2005,08/30/2005,
91,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.E,Standards for Used Oil: Transporter and Transfer Facilities,S  ,05/10/2011,08/08/2011,
92,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.H,Standards for Used Oil: Fuel Marketers,S  ,01/21/2005,06/07/2005,
93,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.C,Standards for Used Oil: Generators,S  ,10/11/2007,05/22/2008,
94,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.E,Standards for Used Oil: Transporter and Transfer Facilities,S  ,10/11/2007,05/22/2008,
95,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/25/2014,05/08/2015,
96,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.F,Standards for Used Oi:l Processors and Re-Refiners,S  ,05/10/2011,08/08/2011,
97,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,PCR,Violation of a permit condition or requirement,S  ,07/25/2014,05/08/2015,
98,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,279.F,Standards for Used Oi:l Processors and Re-Refiners,S  ,05/10/2011,11/30/2011,
99,WOODLAND ESTATES,30.247809999999998,-81.80925,http://echo.epa.gov/detailed-facility-report?fid=110005661300,FLR000064725,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/26/2000,03/08/2001,
100,WOODLAND ESTATES,30.247809999999998,-81.80925,http://echo.epa.gov/detailed-facility-report?fid=110005661300,FLR000064725,FL,279.E,Standards for Used Oil: Transporter and Transfer Facilities,S  ,09/26/2000,03/08/2001,
101,AZKLEEN CLEANERS & LAUNDRY,30.25569500000001,-81.772421,http://echo.epa.gov/detailed-facility-report?fid=110005661747,FLR000065367,FL,261.A,ID and Listing of HW: General,S  ,05/05/2000,07/14/2000,
102,MAGIC CLEANERS,28.580607,-81.477799,http://echo.epa.gov/detailed-facility-report?fid=110001416058,FLR000145482,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/29/2008,02/29/2008,
103,HARRELL & BEVERLY TRANS REBUILD,28.78671,-81.26904300000002,http://echo.epa.gov/detailed-facility-report?fid=110002531537,FLD047963251,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/30/2011,01/05/2012,
104,ED TILLMAN AUTO SALES,30.357858,-81.65326,http://echo.epa.gov/detailed-facility-report?fid=110002536373,FLD078316122,FL,279.C,Standards for Used Oil: Generators,S  ,04/05/2010,04/16/2010,
105,ED TILLMAN AUTO SALES,30.357858,-81.65326,http://echo.epa.gov/detailed-facility-report?fid=110002536373,FLD078316122,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/05/2010,04/16/2010,
106,ED TILLMAN AUTO SALES,30.357858,-81.65326,http://echo.epa.gov/detailed-facility-report?fid=110002536373,FLD078316122,FL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,04/05/2010,04/16/2010,
107,ED TILLMAN AUTO SALES,30.357858,-81.65326,http://echo.epa.gov/detailed-facility-report?fid=110002536373,FLD078316122,FL,261.A,ID and Listing of HW: General,S  ,04/05/2010,04/16/2010,
108,UNIVAR USA INC,30.34387000000001,-81.71366,http://echo.epa.gov/detailed-facility-report?fid=110000362198,FLD981014681,FL,262.A,Standards Applicable to Generators of HW: General,S  ,03/01/1985,09/13/1986,
109,PILOT OIL,28.55264600000001,-81.418761,http://echo.epa.gov/detailed-facility-report?fid=110006495300,FLD981019441,FL,262.A,Standards Applicable to Generators of HW: General,S  ,07/22/1987,08/01/1987,
