,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PWSID,PWS_NAME,CITY_SERVED,STATE,STATE_NAME,PWS_TYPE_CODE,PWS_TYPE_SHORT,SOURCE_WATER,PWS_SIZE,POPULATION_SERVED_COUNT,FISCAL_YEAR,ENFORCEMENT_DATE,ENFORCEMENT_CATEGORY,DESCRIPTION,AGENCY
12,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2016,10/30/2015,Informal,St Public Notif requested,State
13,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2015,07/31/2015,Informal,St Public Notif requested,State
14,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2015,09/01/2015,Informal,St Public Notif received,State
15,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2015,01/30/2015,Informal,St Public Notif requested,State
16,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2015,02/17/2015,Informal,St Public Notif received,State
17,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2015,09/24/2015,Informal,St Public Notif received,State
18,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2015,08/04/2015,Informal,St Public Notif requested,State
19,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2016,09/14/2016,Informal,St Violation/Reminder Notice,State
20,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2011,02/17/2011,Informal,St Public Notif requested,State
21,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,40,2012,09/17/2012,Informal,St Public Notif received,State
22,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,40,2012,08/30/2012,Informal,St Public Notif requested,State
23,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,40,2012,10/13/2011,Informal,St Public Notif received,State
24,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,40,2011,09/13/2011,Informal,St Public Notif requested,State
25,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,43,2018,05/17/2018,Informal,St Public Notif received,State
26,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,43,2018,05/02/2018,Informal,St Public Notif requested,State
27,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,43,2018,05/04/2018,Informal,St Violation/Reminder Notice,State
28,TROUT RIVER MOBILE HOME PARK,30.41607,-81.73501,http://echo.epa.gov/detailed-facility-report?fid=110013194177,FL2161192,TROUT RIVER MOBILE HOME PARK,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,60,2011,08/19/2011,Informal,St Violation/Reminder Notice,State
29,TROUT RIVER MOBILE HOME PARK,30.41607,-81.73501,http://echo.epa.gov/detailed-facility-report?fid=110013194177,FL2161192,TROUT RIVER MOBILE HOME PARK,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,60,2011,08/16/2011,Informal,St Public Notif requested,State
30,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2019,08/15/2019,Formal,St AO (w/o penalty) issued,State
31,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2019,08/20/2019,Informal,St Public Notif requested,State
32,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2019,11/09/2018,Informal,St Public Notif requested,State
33,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2019,05/07/2019,Informal,St Public Notif requested,State
34,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2019,12/27/2018,Informal,St Public Notif received,State
35,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2019,07/03/2019,Informal,St Public Notif received,State
36,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2019,02/19/2019,Informal,St Public Notif requested,State
37,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2015,12/19/2014,Informal,St Intentional no-action,State
38,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2020,10/16/2019,Informal,St Public Notif received,State
39,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2018,12/05/2017,Informal,St Public Notif received,State
40,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2018,08/24/2018,Informal,St Public Notif received,State
41,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2018,11/01/2017,Informal,St Public Notif requested,State
42,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2018,03/05/2018,Informal,St Public Notif requested,State
43,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2018,08/23/2018,Informal,St Public Notif requested,State
44,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2018,08/29/2018,Informal,St Public Notif requested,State
45,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2018,08/29/2018,Informal,St Violation/Reminder Notice,State
46,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,BLACK BEAR RESERVE,EUSTIS,FL,Florida,CWS,Community,GW,Small,625,2012,01/31/2012,Informal,St Public Notif received,State
47,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,BLACK BEAR RESERVE,EUSTIS,FL,Florida,CWS,Community,GW,Small,625,2012,02/29/2012,Formal,St AO (w/o penalty) issued,State
48,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,BLACK BEAR RESERVE,EUSTIS,FL,Florida,CWS,Community,GW,Small,625,2012,03/01/2012,Formal,St AO (w/o penalty) issued,State
49,BLACK BEAR RESERVE,28.8781,-81.55634,http://echo.epa.gov/detailed-facility-report?fid=110013196978,FL3354938,BLACK BEAR RESERVE,EUSTIS,FL,Florida,CWS,Community,GW,Small,625,2012,01/23/2012,Informal,St Violation/Reminder Notice,State
50,"VALLEY MHP, THE",28.75817,-81.59325,http://echo.epa.gov/detailed-facility-report?fid=110012909175,FL3480502,"VALLEY MHP, THE",APOPKA,FL,Florida,CWS,Community,GW,Very Small,239,2014,02/14/2014,Informal,St Public Notif received,State
51,"VALLEY MHP, THE",28.75817,-81.59325,http://echo.epa.gov/detailed-facility-report?fid=110012909175,FL3480502,"VALLEY MHP, THE",APOPKA,FL,Florida,CWS,Community,GW,Very Small,239,2014,02/03/2014,Informal,St Public Notif requested,State
52,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2013,02/18/2013,Informal,St Public Notif received,State
53,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2012,12/07/2011,Informal,St Violation/Reminder Notice,State
54,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2012,12/29/2011,Informal,St Public Notif received,State
55,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2012,08/13/2012,Informal,St Violation/Reminder Notice,State
56,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2012,01/03/2012,Informal,St Compliance Meeting conducted,State
57,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2012,08/30/2012,Informal,St Public Notif received,State
58,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2012,09/18/2012,Formal,St AO (w/o penalty) issued,State
59,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2012,08/13/2012,Informal,St Public Notif requested,State
60,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2011,01/10/2011,Informal,St Public Notif received,State
61,VALENCIA ESTATES MHP,28.686958,-81.54393,http://echo.epa.gov/detailed-facility-report?fid=110012910127,FL3481420,VALENCIA ESTATES MHP,APOPKA,FL,Florida,CWS,Community,GW,Very Small,305,2011,12/07/2010,Informal,St Public Notif received,State
62,ZELLWOOD STATION WWTF,28.713272999999997,-81.58319300000002,http://echo.epa.gov/detailed-facility-report?fid=110012912633,FL3481506,ZELLWOOD STATION (CONSEC),ZELLWOOD,FL,Florida,CWS,Community,GW,Small,2571,2016,03/23/2016,Informal,St Public Notif received,State
63,ZELLWOOD STATION WWTF,28.713272999999997,-81.58319300000002,http://echo.epa.gov/detailed-facility-report?fid=110012912633,FL3481506,ZELLWOOD STATION (CONSEC),ZELLWOOD,FL,Florida,CWS,Community,GW,Small,2571,2011,01/05/2011,Informal,St Violation/Reminder Notice,State
64,ZELLWOOD STATION WWTF,28.713272999999997,-81.58319300000002,http://echo.epa.gov/detailed-facility-report?fid=110012912633,FL3481506,ZELLWOOD STATION (CONSEC),ZELLWOOD,FL,Florida,CWS,Community,GW,Small,2571,2015,02/04/2015,Informal,St Public Notif received,State
