,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
53,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/21/1998,N  
54,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,08/26/2003,N  
55,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/22/1998,Y  
56,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,11/24/1998,N  
57,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/22/2005,N  
58,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/14/1998,N  
59,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/17/2007,N  
60,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/02/1996,Y  
61,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/22/1998,N  
62,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/21/2003,Y  
63,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/25/1996,N  
64,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/14/1998,N  
65,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/18/1997,N  
66,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,11/09/1996,N  
67,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/12/1998,N  
68,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/21/2003,N  
69,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/28/1998,N  
70,SAFEWAY DISCOUNT BEVERAGE,30.247448,-81.790199,http://echo.epa.gov/detailed-facility-report?fid=110007443944,FLD984191882,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/24/2009,N  
71,AMOCO SERVICE STATION #598,30.430132,-81.671318,http://echo.epa.gov/detailed-facility-report?fid=110005606969,FLD984211565,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/29/2009,N  
72,ROBERTS DIESEL SERVICE INC,30.33587,-81.74600000000002,http://echo.epa.gov/detailed-facility-report?fid=110005622120,FLD984250373,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/11/1997,Y  
73,ROBERTS DIESEL SERVICE INC,30.33587,-81.74600000000002,http://echo.epa.gov/detailed-facility-report?fid=110005622120,FLD984250373,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/10/1997,Y  
74,H & S FIBERGLASS INC,29.997221999999997,-81.694722,http://echo.epa.gov/detailed-facility-report?fid=110007467437,FLD991302423,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/02/1997,N  
75,TRULY NOLEN CO.,28.549149,-81.393813,http://echo.epa.gov/detailed-facility-report?fid=110005627580,FLR000000174,FL,APT,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,X  ,09/22/1998,N  
76,TRULY NOLEN CO.,28.549149,-81.393813,http://echo.epa.gov/detailed-facility-report?fid=110005627580,FLR000000174,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/22/1998,N  
77,COLORALL TECHNOLOGIES,30.332127000000003,-81.692394,http://echo.epa.gov/detailed-facility-report?fid=110006189258,FLR000022384,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/18/2005,N  
78,COLORALL TECHNOLOGIES,30.332127000000003,-81.692394,http://echo.epa.gov/detailed-facility-report?fid=110006189258,FLR000022384,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,09/29/2005,N  
79,COLORALL TECHNOLOGIES,30.332127000000003,-81.692394,http://echo.epa.gov/detailed-facility-report?fid=110006189258,FLR000022384,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/29/1996,N  
80,COLORALL TECHNOLOGIES,30.332127000000003,-81.692394,http://echo.epa.gov/detailed-facility-report?fid=110006189258,FLR000022384,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/22/2006,N  
81,MYERS-SETH PUMP,30.324788,-81.72496899999999,http://echo.epa.gov/detailed-facility-report?fid=110005639292,FLR000026278,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/13/2006,Y  
82,MYERS-SETH PUMP,30.324788,-81.72496899999999,http://echo.epa.gov/detailed-facility-report?fid=110005639292,FLR000026278,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/12/2007,N  
83,"C. W. OWENS PEST CONTROL, INC",30.35070300000001,-81.63714499999998,http://echo.epa.gov/detailed-facility-report?fid=110000870585,FLR000031641,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/06/1999,N  
84,C & S X - RAY SYSTEMS,28.820498999999998,-81.330764,http://echo.epa.gov/detailed-facility-report?fid=110005647915,FLR000041665,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/20/1998,N  
85,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,07/07/2005,N  
86,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/30/2011,N  
87,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/16/2017,N  
88,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,12/01/2011,N  
89,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/10/2005,N  
90,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/10/2011,Y  
91,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,08/30/2005,N  
92,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,01/05/2000,N  
93,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/19/2011,Y  
94,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/21/2005,Y  
95,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/11/2000,N  
96,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/17/2003,N  
97,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/11/2007,Y  
98,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,SNY,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/12/2014,Y  
99,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/25/2014,Y  
100,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,SNN,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,12/01/2015,N  
101,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/09/2016,N  
102,UNIVERSAL ENVIRONMENTAL SERVICES LLC,28.807525,-81.27283800000002,http://echo.epa.gov/detailed-facility-report?fid=110005653051,FLR000050369,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/07/2020,N  
103,WOODLAND ESTATES,30.247809999999998,-81.80925,http://echo.epa.gov/detailed-facility-report?fid=110005661300,FLR000064725,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/26/2000,Y  
104,WOODLAND ESTATES,30.247809999999998,-81.80925,http://echo.epa.gov/detailed-facility-report?fid=110005661300,FLR000064725,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/08/2001,N  
105,ACME AUTO PARTS INC,30.335278000000002,-81.696111,http://echo.epa.gov/detailed-facility-report?fid=110005661729,FLR000065342,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/28/2001,N  
106,ACME AUTO PARTS INC,30.335278000000002,-81.696111,http://echo.epa.gov/detailed-facility-report?fid=110005661729,FLR000065342,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,04/26/2000,N  
107,AZKLEEN CLEANERS & LAUNDRY,30.25569500000001,-81.772421,http://echo.epa.gov/detailed-facility-report?fid=110005661747,FLR000065367,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/14/2000,N  
108,AZKLEEN CLEANERS & LAUNDRY,30.25569500000001,-81.772421,http://echo.epa.gov/detailed-facility-report?fid=110005661747,FLR000065367,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/05/2000,Y  
109,WEBBS GARAGE,28.54202,-81.388374,http://echo.epa.gov/detailed-facility-report?fid=110005662657,FLR000066969,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,06/13/2000,N  
110,THE APOPKA CHIEF,28.679621,-81.520935,http://echo.epa.gov/detailed-facility-report?fid=110016745593,FLR000103192,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/20/2003,N  
111,WILBURNS GARAGE,30.383998,-81.673519,http://echo.epa.gov/detailed-facility-report?fid=110020894068,FLR000115584,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/04/2005,N  
112,US ARMY RESERVE,30.314203999999997,-81.575393,http://echo.epa.gov/detailed-facility-report?fid=110024553936,FLR000125377,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/09/2006,N  
113,MAGIC CLEANERS,28.580607,-81.477799,http://echo.epa.gov/detailed-facility-report?fid=110001416058,FLR000145482,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/29/2008,Y  
114,ATLANTIC COAST ASPHALT,30.380770000000002,-81.73984,http://echo.epa.gov/detailed-facility-report?fid=110044806056,FLR000180026,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/08/2011,N  
115,BOY SCOUTS SHOOTING RANGE,29.660118,-81.986827,http://echo.epa.gov/detailed-facility-report?fid=110056314233,FLR000206086,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,10/08/2013,N  
